Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count,Discovered_Channel_URL
CNBC Television,3270000,0.5613167,0.485,0.11390876770019531,149117,https://www.youtube.com/@cnbctelevision
TED,26800000,0.5602137,0.519,0.12658947706222534,5343,https://www.youtube.com/@ted
Think Media,3360000,0.55973744,0.398,0.08317844569683075,2812,https://www.youtube.com/@thinkmediatv
Hamish Hodder,282000,0.55928636,0.592,0.14344359934329987,560,https://www.youtube.com/@hamishhodder
Coding with Lewis,714000,0.5576651,0.396,0.06571944802999496,723,https://www.youtube.com/@codingwithlewis
Kiki Chanel,888000,0.5567341,0.586,0.13619595766067505,476,https://www.youtube.com/@kikichanel
The Will Spencer Podcast,12600,0.55661607,0.613,0.11349014192819595,465,https://www.youtube.com/@willspencerpod
Mark Tilbury,7110000,0.5563592,0.436,0.09616415947675705,288,https://www.youtube.com/@marktilbury
BJ Investigates,319000,0.5562913,0.578,0.12167612463235855,208,https://www.youtube.com/@bjinvestigates
Knowledge at Wharton,75200,0.55553293,0.487,0.09222347289323807,1141,https://www.youtube.com/@knowledgewharton
Crypto Mason 2,115000,0.5543766,0.398,0.09743397682905197,2539,https://www.youtube.com/@cryptomason2
CircleToonsHD,3590000,0.55391526,0.517,0.0959404781460762,477,https://www.youtube.com/@circletoonshd
Investing Basics,277000,0.55324805,0.555,0.15362708270549774,1366,https://www.youtube.com/@investingbasicsyt
Real Stories,6630000,0.5532326,0.607,0.12532922625541687,1220,https://www.youtube.com/@realstories
Financial Times,1360000,0.55253315,0.539,0.09961628913879395,10938,https://www.youtube.com/@financialtimes
SiliconANGLE theCUBE,74100,0.54841256,0.427,0.10099554806947708,18384,https://www.youtube.com/@siliconangle
Liam Donovan,178000,0.5483453,0.585,0.13900180160999298,79,https://www.youtube.com/@liamdonovanmusic
Brandon Conner,3140000,0.5456226,0.34,0.08763732016086578,2707,https://www.youtube.com/@brandonconner18
Learn Liberty,298000,0.54507023,0.567,0.11132624000310898,991,https://www.youtube.com/@learnliberty
The Plain Bagel,1100000,0.54377186,0.432,0.10390064865350723,257,https://www.youtube.com/@theplainbagel
TLDR News Global,1050000,0.54302263,0.444,0.09708384424448013,981,https://www.youtube.com/@tldrnewsglobal
T3Media Studios,14300,0.54267794,0.552,0.11424057185649872,4792,https://www.youtube.com/@t3mediastudios
The Late Show with Stephen Colbert,10400000,0.54160076,0.553,0.11719723790884018,12411,https://www.youtube.com/@colbertlateshow
Jaydone History,170000,0.5413783,0.553,0.15304863452911377,122,https://www.youtube.com/@jaydonehistory
Matteo Turi,42600,0.5395527,0.51,0.11028379946947098,240,https://www.youtube.com/@matteoturi
ButterFaces,156000,0.53862345,0.493,0.13937361538410187,684,https://www.youtube.com/@butterfaces
Have You Met Thomas,68300,0.5364363,0.422,0.11375202238559723,37,https://www.youtube.com/@haveyoumetthomas
Clara Dao,4100000,0.53519744,0.363,0.07163082808256149,1053,https://www.youtube.com/@claradao
Salesforce Ben,66800,0.534719,0.331,0.07477184385061264,666,https://www.youtube.com/@officialsfben
The Critical Drinker,2380000,0.53439796,0.569,0.12368308752775192,626,https://www.youtube.com/@thecriticaldrinker
