Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count,Discovered_Channel_URL
Marketing Business Network,43200,0.37498444,0.317,0.061064884066581726,1176,https://www.youtube.com/@marketingbusinessnetwork
Alex Cattoni,399000,0.3749767,0.322,0.05984989181160927,779,https://www.youtube.com/@alexcattoni
The Singing History Teachers,39700,0.37468317,0.325,0.06554707139730453,91,https://www.youtube.com/@thesinginghistoryteachers
Pearl,2040000,0.3743797,0.357,0.07396852970123291,2128,https://www.youtube.com/@justpearlythings
Crash Course Kids,917000,0.37430334,0.302,0.08943392336368561,112,https://www.youtube.com/@crashcoursekids
Koranos,300000,0.37319332,0.442,0.09478533267974854,39,https://www.youtube.com/@koranos
Live Action,603000,0.37305936,0.33,0.07973898202180862,2149,https://www.youtube.com/@liveactionfilms
University of Plymouth,10200,0.37207568,0.347,0.06089944764971733,897,https://www.youtube.com/@universityofplymouthofficial
Overly Sarcastic Productions,2500000,0.3712917,0.324,0.06799578666687012,847,https://www.youtube.com/@overlysarcasticproductions
Katie Steckly,358000,0.36849642,0.279,0.05767488479614258,805,https://www.youtube.com/@katie
Metricool,18500,0.36848506,0.223,0.045410677790641785,1210,https://www.youtube.com/@metricoolapp
Mentor Mike,11800,0.36833727,0.37,0.09137237817049026,33,https://www.youtube.com/@mentormike-936
Ashley Hodgson,45200,0.36805522,0.364,0.08998148888349533,306,https://www.youtube.com/@ashleyhodgson
The Space Wind,166000,0.3664837,0.322,0.07666496187448502,459,https://www.youtube.com/@thespacewind
UQ Science,20800,0.36640245,0.364,0.07842296361923218,376,https://www.youtube.com/@uqscience
Digifix,108000,0.36560506,0.286,0.05319061130285263,651,https://www.youtube.com/@digifixaus
Hustle Reality,206000,0.36469042,0.264,0.07454884052276611,333,https://www.youtube.com/@hustlereality
Kallaway,272000,0.36324525,0.392,0.08495762199163437,60,https://www.youtube.com/@kallawaymarketing
Bryan Johnson,1840000,0.36259532,0.358,0.06519099324941635,906,https://www.youtube.com/@bryanjohnson
Astrum,2620000,0.36202365,0.288,0.0654715821146965,432,https://www.youtube.com/@astrumspace
Macquarie University,20800,0.36159,0.303,0.05751199647784233,1352,https://www.youtube.com/@macquarieuniversity
Quanta Magazine,1150000,0.35971355,0.389,0.07146313041448593,170,https://www.youtube.com/@quantasciencechannel
Cambridge Law Faculty,39300,0.35156855,0.383,0.09339102357625961,1131,https://www.youtube.com/@cambridgelawfaculty
Professor Dave Explains,4050000,0.35130188,0.338,0.05378025025129318,1873,https://www.youtube.com/@professordaveexplains
Tekta AI,722000,0.35072145,0.318,0.06300287693738937,58,https://www.youtube.com/@tekta-ai
Your Favorite English Teacher | Amy Joy,38300,0.35016167,0.332,0.06777256727218628,328,https://www.youtube.com/@yourfavoriteenglishteacher
The Royal Society,229000,0.34941572,0.411,0.08251921087503433,1594,https://www.youtube.com/@royalsociety
Business School 101,103000,0.34763566,0.258,0.06094350665807724,407,https://www.youtube.com/@businessschool101
Sciencephile the AI,1090000,0.34623846,0.363,0.06669770926237106,152,https://www.youtube.com/@sciencephiletheai
FULL SEND Podcast Clips,566000,0.34591413,0.35,0.08598203957080841,2418,https://www.youtube.com/@fullsendpodcastclips
Minority Mindset,2320000,0.34546703,0.448,0.11083971709012985,2231,https://www.youtube.com/@minoritymindset
WQED Pittsburgh,39000,0.33886015,0.35,0.06998907774686813,2096,https://www.youtube.com/@wqed
Practical Psychology,2320000,0.33811307,0.3,0.06357859075069427,311,https://www.youtube.com/@practicalpsychologytips
SNHU,58000,0.33363783,0.279,0.052499979734420776,1578,https://www.youtube.com/@snhu
Twig Science Reporter,27600,0.33350384,0.368,0.0720461905002594,339,https://www.youtube.com/@twigsciencereporter
Angelo Marasigan,4060000,0.3327876,0.351,0.05151817202568054,494,https://www.youtube.com/@_angelo
Destiny,2000000,0.330312,0.427,0.08705931156873703,300,https://www.youtube.com/@destinyspace
Jahvaun Marcel,25300,0.32980347,0.228,0.05463779345154762,30,https://www.youtube.com/@jahvaunmarcel1746
Think Media Podcast,356000,0.32914746,0.29,0.06637917459011078,1629,https://www.youtube.com/@thinkmediapodcast
ClickView,135000,0.32675642,0.336,0.06955183297395706,253,https://www.youtube.com/@clickview
Dr. James Tour,222000,0.3247075,0.292,0.07108373194932938,868,https://www.youtube.com/@drjamestour
Talking Pollitty,63800,0.3238058,0.362,0.09386075288057327,221,https://www.youtube.com/@talkingpollitty
Insane Curiosity,612000,0.32174695,0.329,0.07787610590457916,1868,https://www.youtube.com/@insanecuriosity
IBM Technology,1430000,0.32162133,0.315,0.06195234879851341,1443,https://www.youtube.com/@ibmtechnology
Timeline - World History Documentaries,5760000,0.3206962,0.333,0.0698348730802536,1259,https://www.youtube.com/@timelinechannel
Roger Love,40400,0.31954783,0.26,0.0951862633228302,327,https://www.youtube.com/@rogerlovevocals
This Is History,245000,0.31930143,0.254,0.07027025520801544,29,https://www.youtube.com/@this_is_history
EconplusDal,364000,0.3181876,0.31,0.07627055048942566,729,https://www.youtube.com/@econplusdal
Meta-Analysis Academy,13800,0.31723326,0.329,0.0780571922659874,222,https://www.youtube.com/@metaanalysis.academy
Joe Bartolozzi,3560000,0.31682867,0.396,0.06930392235517502,974,https://www.youtube.com/@joebartolozzi
HubSpot Marketing,562000,0.31676733,0.286,0.04660957306623459,1006,https://www.youtube.com/@hubspotmarketing
Jimmy Zhang,1740000,0.31466553,0.256,0.05063118785619736,476,https://www.youtube.com/@jimmyzhang
Declassified College,61500,0.31435812,0.27,0.04132922366261482,547,https://www.youtube.com/@declassifiedcollege
University of Saskatchewan,10600,0.31344622,0.266,0.062253862619400024,1490,https://www.youtube.com/@usask
Let's Learn Public Health,154000,0.3125547,0.357,0.056616056710481644,43,https://www.youtube.com/@letslearnpublichealth
Jon Youshaei,646000,0.31139168,0.278,0.06002919375896454,284,https://www.youtube.com/@youshaei
Naftali Moses,211000,0.31119284,0.266,0.0774063766002655,1117,https://www.youtube.com/@naftalimoses
You Will Love Economics,73300,0.3109364,0.306,0.08865592628717422,133,https://www.youtube.com/@youwillloveeconomics
edX,345000,0.30844152,0.28,0.0549941249191761,2173,https://www.youtube.com/@edxonline
POL SC HELP,167000,0.3073308,0.365,0.11624404788017273,852,https://www.youtube.com/@polschelp
The Media Insider,136000,0.30709285,0.304,0.060988858342170715,82,https://www.youtube.com/@themediainsider
Arvin Ash,1090000,0.3068977,0.327,0.07398583739995956,421,https://www.youtube.com/@arvinash
Voices of the Past,1090000,0.30602828,0.32,0.06411857903003693,193,https://www.youtube.com/@voicesofthepast
Fire of Learning,879000,0.3053072,0.304,0.058458175510168076,130,https://www.youtube.com/@fireoflearning
Andrew Huberman,7200000,0.3050126,0.304,0.054055213928222656,415,https://www.youtube.com/@hubermanlab
Rathbone,68200,0.30060422,0.432,0.09156645089387894,1005,https://www.youtube.com/@rathbone_
NIBIB,31800,0.29878867,0.255,0.05869564041495323,158,https://www.youtube.com/@nibibgov
Current Myanmar,18900,0.29861045,0.251,0.08044895529747009,179,https://www.youtube.com/@currentmyanmar1346
Opentiera,25600,0.29710287,0.217,0.06256887316703796,438,https://www.youtube.com/@opentiera
Mr.PiwPiew,59100,0.29620233,0.312,0.061061371117830276,88,https://www.youtube.com/@mr.piwpiew
