Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count
NewsNation,2440000,0.5237849,0.527,0.1067529544234275,76669
MicroConf,110000,0.5235102,0.31,0.0611384660005569,529
Japanalysis,392000,0.5223556,0.517,0.1374022364616394,98
TMR,218000,0.5209724,0.417,0.1089346557855606,1370
Ray William Johnson,18600000,0.5197687,0.627,0.1608397960662841,2939
MSP Radio,21300,0.51961124,0.412,0.0974013358354568,709
Not Malcolm,72000,0.51908827,0.423,0.099499337375164,105
Sundas Khalid,332000,0.5173743,0.382,0.0767809450626373,298
Craig Chamberlin,43100,0.51698285,0.328,0.0405836477875709,1002
The Daily Show,13200000,0.51574254,0.502,0.1269454210996627,7959
Peter H. Diamandis,393000,0.51567805,0.465,0.1212305426597595,1621
Daily Dose of Dana,52400,0.51325893,0.482,0.1244542151689529,1442
Aishah Jenmi,23900,0.5124639,0.665,0.1431004554033279,30
It's Something,41800,0.51102054,0.463,0.1197416707873344,72
Brian Tyler Cohen,4860000,0.5103972,0.49,0.1303061097860336,6161
Lenny's Podcast,501000,0.5102062,0.413,0.0994600132107734,1507
BlackySpeakz,1190000,0.5091396,0.576,0.1425160318613052,1128
Company Man,1790000,0.5086726,0.49,0.1104362607002258,449
Community,406000,0.5086211,0.49,0.1056080535054206,1113
Xevi,1180000,0.50760865,0.652,0.1559955179691314,510
Fox News Clips,566000,0.5053194,0.528,0.1037823855876922,3765
Investing Simplified - Professor G,376000,0.5041649,0.388,0.0779635533690452,739
Clarissa.C ,68600,0.5037611,0.59,0.1379018276929855,200
CBS Sunday Morning,1780000,0.5034302,0.522,0.0975663140416145,9119
Economics Explained,2810000,0.5031136,0.486,0.1050511598587036,408
SWErikCodes,64900,0.50304985,0.371,0.075158379971981,670
Jarrett Moore,80900,0.5028581,0.466,0.1324396729469299,24
MsMojo,5710000,0.5026208,0.474,0.1217507570981979,10234
Complex,6820000,0.5026164,0.477,0.0997421145439148,5058
Tim Todd,100000,0.5021061,0.44,0.0978286042809486,194
Jack LIVE,1140000,0.5019554,0.446,0.1024225503206253,1592
Abbie Ree,49100,0.50171465,0.599,0.1479123383760452,38
news.com.au,1290000,0.50064826,0.501,0.0900346115231514,17746
hxsain,4160000,0.5001955,0.546,0.1119668036699295,2077
Techquickie,4330000,0.49992678,0.332,0.0472519733011722,1269
Sambucha,10800000,0.49904573,0.354,0.0744668543338775,3517
"Parkev Tatevosian, CFA",379000,0.49902904,0.283,0.0684649273753166,6315
