name,subscribers_M,video_count
MR PERFECT TRADER 📈,0.177,735
Aapka Tech - Sumit,0.175,351
Aduok Biztales,0.167,247
Feel Real Good,0.166,49
ColdMindset_,0.162,73
Henrik Kniberg,0.159,78
Iman Gadzhi Inspiration,0.156,2220
CEO Entrepreneur,0.144,76
Inspire Greatness,0.143,87
Jason Kalambay,0.141,405
Money Making Community,0.14,169
Masculine Central,0.137,1799
Arcane Bharat,0.135,27
Inspire Weekly,0.134,83
Marc Lou,0.133,133
AppSumo,0.13,2186
Techyogesh Shorts,0.13,7
We Flip It All,0.13,843
NewGen,0.122,145
ExcelAshu,0.12,62
Edmund Yong,0.119,20
Grow with Bhushan,0.115,29
sfiudxg,0.114,82
Shivan Kay,0.113,175
Emmeworks,0.112,153
FeminineLifestyleGuide,0.11,262
Trek,0.109,24
MINDSET GROWTH $,0.108,236
Kumari Funman,0.106,1428
Billionaire Success,0.104,488
Soothing Piano - Relaxing Music,0.102,157
MadQuick Ecommerce,0.1,52
Julian Sanchez,0.1,52
Tere naall Jewa gan,0.0996,1455
RapidLapse,0.0982,129
Niche Pursuits,0.0963,636
 Inspired by Deep ,0.0945,127
ElevenLabs,0.0916,196
Wealth Rebuilds,0.0896,29
Dream UPSC,0.0889,631
The Koerner Office Business Ideas,0.0868,542
Motivation Ignited,0.086,43
UNSTOPPABLE,0.0848,207
RoboNuggets,0.0842,507
Studytea,0.0841,216
DecodeAI with Analytics Vidhya,0.0802,74
David Heacock,0.0715,1211
WealthWise,0.0692,1176
Transform,0.0663,450
@smotivation1line,0.0636,257
Self Growth,0.0603,137
Caleb Ralston,0.0581,53
WealthyWonders,0.0568,21
Fleshcore AI,0.0554,546
Rshe Collections,0.055,21
Technical Balaram,0.0537,1010
Rise Above Mediocrity ,0.0535,77
Adobe Acrobat,0.0483,642
Syed Kashif Mohsin ,0.0466,528
The APR Akhil,0.046,242
H F Learning Day,0.044,65
LaMotivation,0.0434,166
Let’s Oogge Squad,0.0408,177
systemHUB,0.0402,1028
ICICI Prudential Life Insurance,0.0398,911
MIND MOTIVATION,0.0393,28
Millionow,0.0386,466
Reiss Explains,0.0369,25
iz_bill,0.0342,386
Neel Sharma,0.0326,16
Shorts To Mentor,0.0322,123
Learn with Celebrity,0.0267,107
A2Z Buy and sell,0.0265,280
Solopreneur,0.0228,217
Nick Automates,0.0191,69
Zurich Insurance,0.0186,1230
selfspeed-1,0.0183,128
New Business Ideas • 1.5M views • 3 hours ago,0.0178,211
Ü STAMPS,0.0171,1219
UpgradeMatrix,0.0162,266
K A M A L    T E J A,0.0144,161
Lucas Chae,0.0135,5
Cry & Conquer,0.0132,61
BEUNGHARcom,0.0116,270
Iman Gadzhi Mindset,0.0107,632
